,ID,WHCYYQMC,YQDZ,GK,DH
0,8a524809639011d40163913e63850061,深圳广电集团文化创意产业园,龙华区清湖工业园,深圳广播电影电视集团文化创意产业园”已纳入《深圳市文化创意产业振兴发展规划(2011—2015)》，园区位于龙华新区，占地8.12万平方米，规划总建筑面积18万平方米，共分两期建设，其中办公面积9.5万平方米，综合性摄影棚4000平方米，商业配套服务5.5万平方米，配套公寓2.5万平方米。一期工程总投资3.65亿元，占地2.2万平方米，建筑面积9万平方米。共4栋建筑。其中一期首批签约进驻园区的企业有影视制作龙头企业深圳影视龙传媒有限公司、动漫行业重要企业深圳星舟光影文化发展有限公司等；有意向合作的单位有美国电影协会、香港老夫子工作室等。园区二期占地6万平方米，主要项目有：集文化创意研发及配套服务多功能于一体的新媒体研发中心，可满足影视拍摄及大型活动需求的摄影棚，以及引领时尚表演和时尚体验的中心广场。,13538186665
13600147417
1,8a524809639011d40163913e63850062,特区1980文化创意产业园,龙华区民治街道宝山工业区塘水围F栋综合楼406、407,特区1980文化创意产业园位于广东深圳龙华新区民治最密集的商业中心。连接梅龙路和民治大道两大城市主干道，且与深圳北站相邻，交通便利。项目总建筑面积为18万平方米，是由深圳市润众投资有限公司斥资成建，2012年5月开园全面运营。园区整体设计采用“中国庭院”风格，运用多种造园艺术技巧和手法，将亭、台、楼、阁、泉、石、花、木组合在一起，环境优美，片区绿化面积大，绿化率达到30%，容积率仅为1.28，创造出人与自然和谐相处的办公环境。特区1980文化创意产业园是一个集创意设计、文化艺术交流展示、时尚旅游悠闲为一体的复合型功能园区，在传媒、设计、时尚、艺术等创意领域，整合产业链条，深入产业内容，集成集视觉、听觉、触觉于一体，多感觉、全方位、立体化，凸显人文关怀与城市质感的地标式“创意综合体”项目。特区1980文化创意产业园以开放创新的姿态、发展共享的理念，与创意者们一同发展成为文创服务业“高端品牌化、时尚艺术化、国际多元化”的第一品牌，是深圳市、龙华新区两级认定的文产园。,13510299354
2,8a524809639011d40163913e63850063,万众城家居文化产业园,龙华区民治大道万众城家居B区九楼, ,13480100095
3,8a524809639011d40163913e63850064,深圳市坪山雕塑文化产业园,广东省深圳市坪山新区坪环社区马峦路一号坪山雕塑艺术创意园, ,13682426623
4,8a524809639011d40163913e63850065,艺展中心,深圳市罗湖区梅园路艺展中心二期八楼801,艺展中心（Art Design Center），中国时尚家居艺术的引领者，创建于2000年，位于深圳，隶属满京华集团。作为中国规模最大、品类最全、设计师采购频次最高的一站式家居平台，艺展中心经营面积20万平方米，由一期、二期、三期和设计定制馆组成，荟萃1650余家国内外中高端家居品牌，涵盖室内设计、空间陈设、软装定制、原创设计、家居饰品用品、工艺礼品、艺术家具、精品红木、灯饰布艺、花艺画艺、手工艺品、餐桌艺术等，呈现风格多样的设计精品。艺展中心，从设计出发，展现独特个性,，构建时尚品味空间，引领全新生活方式。,13243820906
15989558176
5,8a524809639011d40163913e63850066,深圳水贝珠宝交易中心,深圳市罗湖区贝丽北路水贝工业区四栋六楼,水贝珠宝交易中心总面积达110万平方米，集聚了1300 多家法人珠宝企业，近2000家个体工商户，十多个专业市场，年交易总额1000多亿元，共拥有22个珠宝类“中国驰名商标”，占全国的37.2%；23个珠宝类“中国名牌”，占全国的 44%，已成为全国黄金珠宝首饰的生产制造中心、信息交流中心和展示交易中心。集聚区先后被授予“广东省黄金珠宝产业集群升级示范区”、“中国珠宝玉石首饰特色产业基地”、“深圳市外贸转型升级专业型示范基地”和“国家外贸转型升级专业型示范基地”称号，荣获全国唯一的黄金珠宝产业知名品牌创建示范区。,13560789130
18665382311
6,8a524809639011d40163913e63850067,笋岗工艺城,罗湖区宝安北路笋岗工艺城一期五楼办公室,笋岗工艺礼品城，是由深圳深业物流集团股份有限公司投巨资精心打造的一艘“文化航母”，地处深圳罗湖笋岗物流园核心位置，是一个家居饰品、工艺品、礼品汇集的大型展示交易平台，定位为国际家居饰品、工艺礼品采购基地和设计中心。主营业务：一期——玉石馆、潮流家饰馆、品牌家饰折扣馆；二期——酒店配饰文化用品馆；三期——品牌形象、精品家饰荟萃馆、特色家饰体验馆；国际生活馆。,18718678011
